iter	Passed	Remaining
516	207	777
517	207	777
518	207	776
519	208	776
520	208	776
521	209	775
522	209	775
523	209	774
524	210	774
525	210	773
526	211	773
527	211	773
528	212	773
529	212	772
530	212	772
531	213	771
532	213	771
533	213	770
534	214	770
535	214	770
536	215	769
537	215	769
538	215	768
539	216	767
540	216	767
541	216	766
542	217	766
543	217	765
544	218	765
545	218	764
546	218	764
547	219	763
548	219	763
549	219	762
550	220	762
551	220	761
552	220	760
553	221	760
554	221	759
555	221	759
556	222	758
557	222	758
558	222	757
559	223	756
560	223	756
561	224	755
562	224	755
563	224	754
564	225	754
565	225	754
566	226	753
567	226	753
568	226	753
569	227	752
570	227	752
571	228	751
572	228	751
573	228	750
574	229	750
575	229	749
576	229	749
577	230	748
578	230	748
579	230	747
580	231	747
581	231	746
582	232	746
583	232	745
584	232	745
585	233	744
586	233	743
587	233	743
588	234	742
589	234	742
590	234	741
591	235	741
592	235	740
593	235	740
594	236	739
595	236	739
596	237	738
597	237	738
598	237	737
599	238	737
600	238	736
601	238	736
602	239	735
603	239	735
604	239	734
605	240	734
606	240	733
607	241	733
608	241	733
609	241	733
610	242	732
611	242	732
612	243	731
613	243	731
614	243	730
615	244	730
616	244	730
617	245	729
618	245	729
619	245	728
620	246	728
621	246	727
622	246	727
623	247	726
624	247	726
625	247	725
626	248	725
627	248	724
628	249	724
629	249	723
630	249	723
631	250	722
632	250	722
633	250	721
634	251	721
635	251	720
636	251	720
637	252	719
638	252	719
639	252	718
640	253	718
641	253	717
642	254	717
643	254	716
644	254	716
645	255	715
646	255	715
647	255	714
648	256	714
649	256	714
650	257	714
651	257	713
652	258	713
653	258	713
654	258	712
655	259	712
656	259	711
657	260	711
658	260	711
659	260	710
660	261	710
661	261	709
662	262	709
663	262	709
664	262	708
665	263	708
666	263	708
667	264	707
668	264	707
669	264	706
670	265	706
671	265	705
672	266	705
673	266	705
674	266	704
675	267	704
676	267	703
677	267	703
678	268	702
679	268	702
680	268	701
681	269	700
682	269	700
683	269	699
684	270	699
685	270	699
686	270	698
687	271	698
688	271	698
689	272	697
690	272	697
691	273	697
692	273	696
693	274	696
694	274	696
695	274	695
696	275	695
697	275	695
698	276	694
699	276	694
700	276	694
701	277	693
702	277	693
703	278	692
704	278	692
705	278	691
706	279	691
707	279	690
708	279	690
709	280	690
710	280	689
711	281	689
712	281	688
713	281	688
714	282	687
715	282	687
716	282	686
717	283	686
718	283	685
719	283	685
720	284	684
721	284	684
722	285	683
723	285	683
724	285	682
725	286	682
726	286	682
727	286	681
728	287	681
729	287	681
730	288	680
731	288	680
732	288	679
733	289	679
734	289	678
735	289	678
736	290	677
737	290	677
738	291	677
739	291	676
740	291	676
741	292	676
742	292	675
743	293	675
744	293	674
745	293	674
746	294	673
747	294	673
748	294	672
749	295	672
750	295	672
751	296	671
752	296	671
753	296	670
754	297	670
755	297	669
756	297	669
757	298	668
758	298	668
759	298	667
760	299	667
761	299	666
762	299	666
763	300	665
764	300	665
765	300	664
766	301	664
767	301	664
768	302	664
769	302	663
770	303	663
771	303	663
772	304	663
773	304	662
774	304	662
775	305	661
776	305	661
777	306	660
778	306	660
779	306	660
780	307	659
781	307	659
782	307	658
783	308	658
784	308	657
785	309	657
786	309	656
787	309	656
788	310	656
789	310	655
790	310	655
791	311	654
792	311	654
793	311	653
794	312	653
795	312	652
796	313	652
797	313	652
798	313	651
799	314	651
800	314	650
801	314	650
802	315	649
803	315	649
804	316	649
805	316	648
806	317	648
807	317	648
808	317	647
809	318	647
810	318	647
811	319	646
812	319	646
813	319	646
814	320	645
815	320	645
816	321	644
817	321	644
818	321	644
819	322	643
820	322	643
821	322	642
822	323	642
823	323	641
824	324	641
825	324	641
826	324	640
827	325	640
828	325	639
829	325	639
830	326	638
831	326	638
832	326	637
833	327	637
834	327	636
835	328	636
836	328	636
837	328	635
838	329	635
839	329	634
840	329	634
841	330	633
842	330	633
843	331	633
844	331	632
845	331	632
846	332	632
847	332	631
848	333	631
849	333	630
850	333	630
851	334	629
852	334	629
853	334	629
854	335	628
855	335	628
856	335	627
857	336	627
858	336	626
859	337	626
860	337	625
861	337	625
862	338	625
863	338	624
864	338	624
865	339	623
866	339	623
867	339	622
868	340	622
869	340	621
870	341	621
871	341	621
872	341	620
873	342	620
874	342	619
875	342	619
876	343	618
877	343	618
878	343	617
879	344	617
880	344	617
881	345	616
882	345	616
883	345	615
884	346	615
885	346	615
886	347	614
887	347	614
888	347	613
889	348	613
890	348	613
891	348	612
892	349	612
893	349	611
894	350	611
895	350	610
896	350	610
897	351	609
898	351	609
899	351	609
900	352	608
901	352	608
902	352	607
903	353	607
904	353	606
905	354	606
906	354	605
907	354	605
908	355	605
909	355	604
910	355	604
911	356	603
912	356	603
913	356	602
914	357	602
915	357	601
916	357	601
917	358	600
918	358	600
919	358	600
920	359	599
921	359	599
922	360	599
923	360	598
924	360	598
925	361	597
926	361	597
927	362	597
928	362	596
929	363	596
930	363	596
931	364	596
932	364	595
933	364	595
934	365	595
935	365	594
936	366	594
937	366	593
938	366	593
939	367	592
940	367	592
941	367	592
942	368	591
943	368	591
944	369	590
945	369	590
946	369	589
947	370	589
948	370	589
949	370	588
950	371	588
951	371	587
952	371	587
953	372	586
954	372	586
955	373	586
956	373	585
957	373	585
958	374	584
959	374	584
960	374	583
961	375	583
962	375	583
963	376	582
964	376	582
965	377	582
966	377	581
967	377	581
968	378	581
969	378	580
970	378	580
971	379	579
972	379	579
973	380	579
974	380	578
975	380	578
976	381	577
977	381	577
978	381	576
979	382	576
980	382	576
981	383	575
982	383	575
983	383	574
984	384	574
985	384	573
986	384	573
987	385	573
988	385	572
989	385	572
990	386	571
991	386	571
992	386	570
993	387	570
994	387	570
995	388	569
996	388	569
997	388	568
998	389	568
999	389	567
1000	389	567
1001	390	566
1002	390	566
1003	390	566
1004	391	565
1005	391	565
1006	392	565
1007	392	564
1008	393	564
1009	393	564
1010	393	563
1011	394	563
1012	394	562
1013	394	562
1014	395	562
1015	395	561
1016	396	561
1017	396	560
1018	396	560
1019	397	559
1020	397	559
1021	397	559
1022	398	558
1023	398	558
1024	399	557
1025	399	557
1026	399	557
1027	400	556
1028	400	556
1029	400	555
1030	401	555
1031	401	555
1032	402	554
1033	402	554
1034	402	553
1035	403	553
1036	403	553
1037	403	552
1038	404	552
1039	404	551
1040	405	551
1041	405	551
1042	405	550
1043	406	550
1044	406	550
1045	407	549
1046	407	549
1047	408	549
1048	408	548
1049	409	548
1050	409	548
1051	409	547
1052	410	547
1053	410	547
1054	411	546
1055	411	546
1056	411	546
1057	412	545
1058	412	545
1059	413	545
1060	413	544
1061	414	544
1062	414	543
1063	414	543
1064	415	543
1065	415	542
1066	416	542
1067	416	542
1068	416	541
1069	417	541
1070	417	541
1071	418	540
1072	418	540
1073	418	539
1074	419	539
1075	419	539
1076	420	538
1077	420	538
1078	421	538
1079	421	537
1080	422	537
1081	422	537
1082	422	536
1083	423	536
1084	423	536
1085	424	535
1086	424	535
1087	424	534
1088	425	534
1089	425	534
1090	425	533
1091	426	533
1092	426	532
1093	427	532
1094	427	532
1095	427	531
1096	428	531
1097	428	530
1098	428	530
1099	429	529
1100	429	529
1101	430	529
1102	430	528
1103	430	528
1104	431	527
1105	431	527
1106	431	526
1107	432	526
1108	432	526
1109	432	525
1110	433	525
1111	433	524
1112	433	524
1113	434	524
1114	434	523
1115	435	523
1116	435	522
1117	436	522
1118	436	522
1119	437	522
1120	437	521
1121	438	521
1122	438	521
1123	438	520
1124	439	520
1125	439	520
1126	440	519
1127	440	519
1128	441	519
1129	441	518
1130	441	518
1131	442	518
1132	442	518
1133	443	517
1134	443	517
1135	444	516
1136	444	516
1137	444	516
1138	445	515
1139	445	515
1140	446	514
1141	446	514
1142	446	514
1143	447	513
1144	447	513
1145	447	512
1146	448	512
1147	448	512
1148	449	511
1149	449	511
1150	449	510
1151	450	510
1152	450	510
1153	451	509
1154	451	509
1155	451	509
1156	452	508
1157	452	508
1158	453	508
1159	453	507
1160	454	507
1161	454	507
1162	454	506
1163	455	506
1164	455	505
1165	456	505
1166	456	504
1167	456	504
1168	457	504
1169	457	503
1170	457	503
1171	458	502
1172	458	502
1173	459	502
1174	459	501
1175	459	501
1176	460	500
1177	460	500
1178	460	499
1179	461	499
1180	461	499
1181	461	498
1182	462	498
1183	462	497
1184	463	497
1185	463	497
1186	463	496
1187	464	496
1188	464	495
1189	464	495
1190	465	494
1191	465	494
1192	465	494
1193	466	493
1194	466	493
1195	467	493
1196	467	492
1197	468	492
1198	468	492
1199	469	492
1200	469	491
1201	470	491
1202	470	491
1203	471	490
1204	471	490
1205	471	489
1206	472	489
1207	472	488
1208	472	488
1209	473	488
1210	473	487
1211	473	487
1212	474	486
1213	474	486
1214	475	486
1215	475	485
1216	475	485
1217	476	484
1218	476	484
1219	476	483
1220	477	483
1221	477	483
1222	478	482
1223	478	482
1224	478	481
1225	479	481
1226	479	480
1227	479	480
1228	480	480
1229	480	479
1230	480	479
1231	481	478
1232	481	478
1233	482	478
1234	482	477
1235	483	477
1236	483	477
1237	483	476
1238	484	476
1239	484	476
1240	485	475
1241	485	475
1242	485	474
1243	486	474
1244	486	474
1245	486	473
1246	487	473
1247	487	472
1248	488	472
1249	488	472
1250	488	471
1251	489	471
1252	489	470
1253	489	470
1254	490	469
1255	490	469
1256	490	469
1257	491	468
1258	491	468
1259	492	467
1260	492	467
1261	492	467
1262	493	466
1263	493	466
1264	493	465
1265	494	465
1266	494	464
1267	494	464
1268	495	464
1269	495	463
1270	496	463
1271	496	462
1272	496	462
1273	497	462
1274	497	461
1275	499	463
1276	500	462
1277	500	462
1278	501	461
1279	501	461
1280	501	461
1281	502	460
1282	502	460
1283	503	459
1284	503	459
1285	503	459
1286	504	458
1287	504	458
1288	505	458
1289	505	457
1290	505	457
1291	506	456
1292	506	456
1293	506	455
1294	507	455
1295	507	455
1296	507	454
1297	508	454
1298	508	453
1299	509	453
1300	509	453
1301	509	452
1302	510	452
1303	510	451
1304	511	451
1305	511	451
1306	511	450
1307	512	450
1308	512	450
1309	513	449
1310	513	449
1311	513	448
1312	514	448
1313	514	448
1314	514	447
1315	515	447
1316	515	446
1317	516	446
1318	516	445
1319	516	445
1320	517	445
1321	517	444
1322	517	444
1323	518	443
1324	518	443
1325	518	443
1326	519	442
1327	519	442
1328	520	441
1329	520	441
1330	520	441
1331	521	440
1332	521	440
1333	521	439
1334	522	439
1335	522	438
1336	523	438
1337	523	438
1338	523	437
1339	524	437
1340	524	436
1341	524	436
1342	525	436
1343	525	435
1344	526	435
1345	526	435
1346	527	434
1347	527	434
1348	528	434
1349	528	433
1350	529	433
1351	529	433
1352	529	432
1353	530	432
1354	530	431
1355	530	431
1356	531	431
1357	531	430
1358	531	430
1359	532	429
1360	532	429
1361	533	428
1362	533	428
1363	533	428
1364	534	427
1365	534	427
1366	534	426
1367	535	426
1368	535	426
1369	535	425
1370	536	425
1371	536	424
1372	537	424
1373	537	424
1374	537	423
1375	538	423
1376	538	422
1377	538	422
1378	539	421
1379	539	421
1380	540	421
1381	540	420
1382	540	420
1383	541	419
1384	541	419
1385	542	419
1386	542	419
1387	543	418
1388	543	418
1389	543	417
1390	544	417
1391	544	416
1392	544	416
1393	545	416
1394	545	415
1395	545	415
1396	546	414
1397	546	414
1398	547	414
1399	547	413
1400	547	413
1401	548	412
1402	548	412
1403	548	412
1404	549	411
1405	549	411
1406	549	410
1407	550	410
1408	550	409
1409	551	409
1410	551	409
1411	551	408
1412	552	408
1413	552	407
1414	552	407
1415	553	407
1416	553	406
1417	553	406
1418	554	405
1419	554	405
1420	555	405
1421	555	404
1422	555	404
1423	556	404
1424	556	403
1425	557	403
1426	557	402
1427	558	402
1428	558	402
1429	559	401
1430	559	401
1431	560	401
1432	560	400
1433	560	400
1434	561	400
1435	561	399
1436	561	399
1437	562	398
1438	562	398
1439	563	398
1440	563	397
1441	563	397
1442	564	396
1443	564	396
1444	564	395
1445	565	395
1446	565	395
1447	565	394
1448	566	394
1449	566	393
1450	566	393
1451	567	393
1452	567	392
1453	568	392
1454	568	391
1455	568	391
1456	569	391
1457	569	390
1458	569	390
1459	570	389
1460	570	389
1461	570	388
1462	571	388
1463	571	388
1464	572	387
1465	572	387
1466	573	387
1467	573	386
1468	573	386
1469	574	385
1470	574	385
1471	574	385
1472	575	384
1473	575	384
1474	576	383
1475	576	383
1476	576	383
1477	577	382
1478	577	382
1479	577	381
1480	578	381
1481	578	381
1482	579	380
1483	579	380
1484	579	379
1485	580	379
1486	580	379
1487	580	378
1488	581	378
1489	581	377
1490	582	377
1491	582	377
1492	582	376
1493	583	376
1494	583	375
1495	583	375
1496	584	375
1497	584	374
1498	584	374
1499	585	373
1500	585	373
1501	586	373
1502	586	372
1503	586	372
1504	587	372
1505	587	371
1506	588	371
1507	588	370
1508	589	370
1509	589	370
1510	590	369
1511	590	369
1512	590	368
1513	591	368
1514	591	368
1515	591	367
1516	592	367
1517	592	367
1518	593	366
1519	593	366
1520	593	365
1521	594	365
1522	594	365
1523	595	364
1524	595	364
1525	595	363
1526	596	363
1527	596	363
1528	596	362
1529	597	362
1530	597	361
1531	598	361
1532	598	361
1533	598	360
1534	599	360
1535	599	359
1536	599	359
1537	600	359
1538	600	358
1539	601	358
1540	601	357
1541	602	357
1542	602	357
1543	603	356
1544	603	356
1545	603	356
1546	604	355
1547	604	355
1548	604	355
1549	605	354
1550	605	354
1551	606	353
1552	606	353
1553	606	352
1554	607	352
1555	607	352
1556	608	351
1557	608	351
1558	608	351
1559	609	350
1560	609	350
1561	610	349
1562	610	349
1563	610	349
1564	611	348
1565	611	348
1566	611	347
1567	612	347
1568	612	347
1569	613	346
1570	613	346
1571	613	345
1572	614	345
1573	614	345
1574	614	344
1575	615	344
1576	615	343
1577	616	343
1578	616	343
1579	617	343
1580	617	342
1581	618	342
1582	618	341
1583	618	341
1584	619	341
1585	619	340
1586	620	340
1587	620	339
1588	620	339
1589	621	339
1590	621	338
1591	621	338
1592	622	337
1593	622	337
1594	623	337
1595	623	336
1596	623	336
1597	624	335
1598	624	335
1599	624	335
1600	625	334
1601	625	334
1602	625	333
1603	626	333
1604	626	333
1605	627	332
1606	627	332
1607	627	331
1608	628	331
1609	628	331
1610	628	330
1611	629	330
1612	629	329
1613	630	329
1614	630	329
1615	630	328
1616	631	328
1617	631	327
1618	632	327
1619	632	327
1620	633	326
1621	633	326
1622	634	326
1623	634	325
1624	634	325
1625	635	325
1626	635	324
1627	636	324
1628	636	323
1629	636	323
1630	637	323
1631	637	322
1632	638	322
1633	638	321
1634	638	321
1635	639	321
1636	639	320
1637	640	320
1638	640	320
1639	640	319
1640	641	319
1641	641	318
1642	641	318
1643	642	318
1644	642	317
1645	643	317
1646	643	316
1647	643	316
1648	644	316
1649	644	315
1650	645	315
1651	645	314
1652	645	314
1653	646	314
1654	646	313
1655	647	313
1656	647	313
1657	648	312
1658	648	312
1659	649	312
1660	649	311
1661	650	311
